DIA,MES,ANO,VALOR
1,9,1974,43.104
2,9,1974,43.125
3,9,1974,43.13
4,9,1974,43.154
5,9,1974,43.128
6,9,1974,43.125
7,9,1974,43.104
8,9,1974,43.126
9,9,1974,43.159
10,9,1974,43.134
11,9,1974,43.138
12,9,1974,43.141
13,9,1974,43.148
14,9,1974,43.149
15,9,1974,43.159
16,9,1974,43.178
17,9,1974,43.167
18,9,1974,43.184
19,9,1974,43.199
20,9,1974,43.214
21,9,1974,43.226
22,9,1974,43.212
23,9,1974,43.233
24,9,1974,43.242
25,9,1974,43.252
26,9,1974,43.264
27,9,1974,43.274
28,9,1974,43.276
29,9,1974,43.277
30,9,1974,43.281
1,10,1974,43.287
2,10,1974,43.289
3,10,1974,43.29
4,10,1974,43.291
5,10,1974,43.292
6,10,1974,43.292
7,10,1974,43.295
8,10,1974,43.297
9,10,1974,43.3
10,10,1974,43.301
11,10,1974,43.303
12,10,1974,43.307
13,10,1974,43.304
14,10,1974,43.289
15,10,1974,
16,10,1974,
17,10,1974,
18,10,1974,43.27
19,10,1974,43.271
20,10,1974,43.279
21,10,1974,43.287
22,10,1974,43.29
23,10,1974,43.294
24,10,1974,43.3
25,10,1974,43.302
26,10,1974,43.309
27,10,1974,43.324
28,10,1974,43.324
29,10,1974,43.324
30,10,1974,43.317
31,10,1974,43.311
1,11,1974,43.306
2,11,1974,43.306
3,11,1974,43.302
4,11,1974,43.299
5,11,1974,43.296
6,11,1974,43.293
7,11,1974,43.29
8,11,1974,43.287
9,11,1974,43.285
10,11,1974,43.287
11,11,1974,43.289
12,11,1974,43.285
13,11,1974,43.283
14,11,1974,43.286
15,11,1974,43.288
16,11,1974,43.29
17,11,1974,43.289
18,11,1974,43.287
19,11,1974,43.284
20,11,1974,43.281
21,11,1974,43.285
22,11,1974,43.285
23,11,1974,43.285
24,11,1974,43.285
25,11,1974,43.285
26,11,1974,43.285
27,11,1974,43.285
28,11,1974,43.286
29,11,1974,43.288
30,11,1974,43.287
1,12,1974,43.284
2,12,1974,43.278
3,12,1974,43.273
4,12,1974,43.27
5,12,1974,43.267
6,12,1974,43.258
7,12,1974,43.24
8,12,1974,43.233
9,12,1974,43.233
10,12,1974,43.21
11,12,1974,43.203
12,12,1974,43.203
13,12,1974,43.191
14,12,1974,43.177
15,12,1974,43.149
16,12,1974,43.143
17,12,1974,43.139
18,12,1974,43.126
19,12,1974,43.151
20,12,1974,43.152
21,12,1974,43.144
22,12,1974,43.127
