DIA,MES,ANO,VALOR
1,10,1972,20.565
2,10,1972,20.561
3,10,1972,20.565
4,10,1972,20.564
5,10,1972,20.569
6,10,1972,20.578
7,10,1972,20.581
8,10,1972,20.587
9,10,1972,20.588
10,10,1972,20.587
11,10,1972,20.592
12,10,1972,20.608
13,10,1972,20.613
14,10,1972,20.623
15,10,1972,20.646
16,10,1972,20.652
17,10,1972,20.653
18,10,1972,20.653
19,10,1972,20.652
20,10,1972,20.648
21,10,1972,20.648
22,10,1972,20.641
23,10,1972,20.637
24,10,1972,20.636
25,10,1972,20.632
26,10,1972,20.629
27,10,1972,20.63
28,10,1972,20.619
29,10,1972,20.607
30,10,1972,20.601
31,10,1972,20.563
1,11,1972,20.602
2,11,1972,20.615
3,11,1972,20.624
4,11,1972,20.626
5,11,1972,20.64
6,11,1972,20.656
7,11,1972,20.666
8,11,1972,20.673
9,11,1972,20.682
10,11,1972,20.692
11,11,1972,20.701
12,11,1972,20.706
13,11,1972,20.71
14,11,1972,20.713
15,11,1972,20.717
16,11,1972,20.722
17,11,1972,20.725
18,11,1972,20.722
19,11,1972,20.721
20,11,1972,20.726
21,11,1972,20.725
22,11,1972,20.722
23,11,1972,20.722
24,11,1972,20.723
25,11,1972,20.728
26,11,1972,20.732
27,11,1972,20.735
28,11,1972,20.736
29,11,1972,20.734
30,11,1972,20.73
1,12,1972,20.719
2,12,1972,20.704
3,12,1972,20.688
4,12,1972,20.666
5,12,1972,20.648
6,12,1972,20.645
7,12,1972,20.642
8,12,1972,20.622
9,12,1972,20.608
10,12,1972,20.597
11,12,1972,20.584
12,12,1972,20.582
13,12,1972,20.579
14,12,1972,20.579
15,12,1972,20.579
16,12,1972,20.568
17,12,1972,20.561
18,12,1972,20.549
19,12,1972,20.534
20,12,1972,20.533
21,12,1972,20.537
22,12,1972,20.559
23,12,1972,20.573
24,12,1972,20.563
25,12,1972,20.589
26,12,1972,20.589
27,12,1972,20.567
28,12,1972,20.54
29,12,1972,20.509
30,12,1972,20.481
31,12,1972,20.46
1,1,1973,20.4
2,1,1973,20.387
3,1,1973,20.367
4,1,1973,20.362
5,1,1973,20.366
6,1,1973,20.361
7,1,1973,20.34
8,1,1973,20.334
9,1,1973,0
10,1,1973,0
11,1,1973,0
12,1,1973,0
13,1,1973,0
14,1,1973,0
15,1,1973,0
16,1,1973,0
17,1,1973,0
18,1,1973,0
19,1,1973,0
20,1,1973,0
21,1,1973,0
22,1,1973,0
23,1,1973,0
24,1,1973,0
25,1,1973,0
26,1,1973,0
27,1,1973,0
28,1,1973,0
29,1,1973,0
30,1,1973,0
31,1,1973,0
1,2,1973,0
2,2,1973,0
3,2,1973,0
4,2,1973,0
5,2,1973,0
6,2,1973,0
7,2,1973,0
8,2,1973,0
9,2,1973,0
10,2,1973,0
11,2,1973,0
12,2,1973,0
13,2,1973,0
14,2,1973,0
15,2,1973,0
16,2,1973,0
17,2,1973,0
18,2,1973,0
19,2,1973,0
20,2,1973,0
21,2,1973,0
22,2,1973,0
23,2,1973,0
24,2,1973,0
25,2,1973,0
26,2,1973,0
27,2,1973,0
28,2,1973,0
1,3,1973,20.192
2,3,1973,20.189
3,3,1973,20.185
4,3,1973,20.185
5,3,1973,20.202
6,3,1973,20.233
7,3,1973,20.262
8,3,1973,20.251
9,3,1973,20.239
10,3,1973,20.248
11,3,1973,20.277
12,3,1973,20.307
13,3,1973,20.3
14,3,1973,20.289
15,3,1973,20.299
16,3,1973,20.306
17,3,1973,20.32
18,3,1973,20.332
19,3,1973,20.347
20,3,1973,20.324
21,3,1973,20.298
22,3,1973,20.298
23,3,1973,20.296
24,3,1973,20.304
25,3,1973,20.322
26,3,1973,20.327
27,3,1973,20.327
28,3,1973,20.353
29,3,1973,20.365
30,3,1973,20.35
31,3,1973,20.338
1,4,1973,20.33
2,4,1973,20.315
3,4,1973,20.305
4,4,1973,20.305
5,4,1973,20.298
6,4,1973,20.295
7,4,1973,20.283
8,4,1973,20.279
9,4,1973,20.305
10,4,1973,20.334
11,4,1973,20.347
12,4,1973,20.339
13,4,1973,20.364
14,4,1973,20.395
15,4,1973,20.408
16,4,1973,20.402
17,4,1973,20.38
18,4,1973,20.367
19,4,1973,20.38
20,4,1973,20.397
21,4,1973,20.396
22,4,1973,20.394
23,4,1973,20.417
24,4,1973,20.452
25,4,1973,20.477
26,4,1973,20.502
27,4,1973,20.514
28,4,1973,20.517
29,4,1973,20.522
30,4,1973,20.518
1,5,1973,20.507
2,5,1973,20.495
3,5,1973,20.481
4,5,1973,20.47
5,5,1973,20.469
6,5,1973,20.465
7,5,1973,20.48
8,5,1973,20.51
9,5,1973,20.55
10,5,1973,20.562
11,5,1973,20.54
12,5,1973,20.525
13,5,1973,20.515
14,5,1973,20.513
15,5,1973,20.497
16,5,1973,20.485
17,5,1973,20.462
18,5,1973,20.452
19,5,1973,20.46
20,5,1973,20.489
21,5,1973,20.522
22,5,1973,20.543
23,5,1973,20.551
24,5,1973,20.565
25,5,1973,20.575
26,5,1973,20.575
27,5,1973,20.574
28,5,1973,20.565
29,5,1973,20.558
30,5,1973,20.554
31,5,1973,20.544
1,6,1973,20.535
2,6,1973,20.52
3,6,1973,20.497
4,6,1973,20.485
5,6,1973,20.481
6,6,1973,20.494
7,6,1973,20.513
8,6,1973,20.529
9,6,1973,20.538
10,6,1973,20.532
11,6,1973,20.524
12,6,1973,20.524
13,6,1973,20.523
14,6,1973,20.536
15,6,1973,20.551
16,6,1973,20.561
17,6,1973,20.555
18,6,1973,20.551
19,6,1973,20.548
20,6,1973,20.548
21,6,1973,20.565
22,6,1973,20.574
23,6,1973,20.578
24,6,1973,20.581
25,6,1973,20.593
26,6,1973,20.609
27,6,1973,20.627
28,6,1973,20.634
29,6,1973,20.64
30,6,1973,20.631
1,7,1973,20.633
2,7,1973,20.642
3,7,1973,20.648
4,7,1973,20.648
5,7,1973,20.638
6,7,1973,20.629
7,7,1973,20.624
8,7,1973,20.619
9,7,1973,20.617
10,7,1973,20.607
11,7,1973,20.588
12,7,1973,20.579
13,7,1973,20.579
14,7,1973,20.572
15,7,1973,20.558
16,7,1973,20.542
17,7,1973,20.531
18,7,1973,20.519
19,7,1973,20.514
20,7,1973,20.516
21,7,1973,20.523
22,7,1973,20.528
23,7,1973,20.535
24,7,1973,20.548
25,7,1973,20.549
26,7,1973,20.56
27,7,1973,20.565
28,7,1973,20.58
29,7,1973,20.595
30,7,1973,20.605
31,7,1973,20.618
1,8,1973,20.611
2,8,1973,20.614
3,8,1973,20.626
4,8,1973,20.63
5,8,1973,20.635
6,8,1973,20.638
7,8,1973,20.648
8,8,1973,20.647
9,8,1973,20.646
10,8,1973,20.644
11,8,1973,20.648
12,8,1973,20.643
13,8,1973,20.628
14,8,1973,20.635
15,8,1973,20.65
16,8,1973,20.647
17,8,1973,20.645
18,8,1973,20.641
19,8,1973,20.643
20,8,1973,20.619
21,8,1973,20.638
22,8,1973,20.638
23,8,1973,20.637
24,8,1973,20.637
25,8,1973,20.635
26,8,1973,20.632
27,8,1973,20.627
28,8,1973,20.598
29,8,1973,20.608
30,8,1973,20.625
31,8,1973,20.638
1,9,1973,20.697
2,9,1973,20.709
3,9,1973,20.72
4,9,1973,20.732
5,9,1973,20.74
6,9,1973,20.745
7,9,1973,20.75
8,9,1973,20.758
9,9,1973,20.764
10,9,1973,20.77
11,9,1973,20.77
12,9,1973,20.772
13,9,1973,20.774
14,9,1973,20.777
15,9,1973,20.78
16,9,1973,20.785
17,9,1973,20.796
18,9,1973,20.799
19,9,1973,20.805
20,9,1973,20.805
21,9,1973,20.808
22,9,1973,20.81
23,9,1973,20.81
24,9,1973,20.813
25,9,1973,0
26,9,1973,0
27,9,1973,0
28,9,1973,0
29,9,1973,0
30,9,1973,0
1,10,1973,0
2,10,1973,0
3,10,1973,0
4,10,1973,0
5,10,1973,0
6,10,1973,0
7,10,1973,0
8,10,1973,0
9,10,1973,0
10,10,1973,0
11,10,1973,0
12,10,1973,0
13,10,1973,0
14,10,1973,0
15,10,1973,0
16,10,1973,0
17,10,1973,0
18,10,1973,0
19,10,1973,0
20,10,1973,0
21,10,1973,0
22,10,1973,0
23,10,1973,0
24,10,1973,0
25,10,1973,0
26,10,1973,0
27,10,1973,0
28,10,1973,0
29,10,1973,0
30,10,1973,0
31,10,1973,0
1,11,1973,0
2,11,1973,0
3,11,1973,0
4,11,1973,0
5,11,1973,20.814
6,11,1973,20.81
7,11,1973,20.805
8,11,1973,20.805
9,11,1973,20.806
10,11,1973,20.805
11,11,1973,20.806
12,11,1973,20.812
13,11,1973,20.815
14,11,1973,20.816
15,11,1973,0
16,11,1973,0
17,11,1973,0
18,11,1973,0
19,11,1973,0
20,11,1973,0
21,11,1973,0
22,11,1973,0
23,11,1973,0
24,11,1973,0
25,11,1973,0
26,11,1973,0
27,11,1973,0
28,11,1973,0
29,11,1973,0
30,11,1973,0
1,12,1973,20.817
2,12,1973,20.813
3,12,1973,20.807
4,12,1973,20.804
5,12,1973,20.8
6,12,1973,20.799
7,12,1973,20.799
8,12,1973,20.793
9,12,1973,20.789
10,12,1973,20.784
11,12,1973,20.777
12,12,1973,20.77
13,12,1973,20.766
14,12,1973,20.762
15,12,1973,20.757
16,12,1973,20.748
17,12,1973,20.757
18,12,1973,20.765
19,12,1973,20.748
20,12,1973,20.752
21,12,1973,20.747
22,12,1973,20.747
23,12,1973,20.743
24,12,1973,20.738
25,12,1973,20.736
26,12,1973,20.733
27,12,1973,20.73
28,12,1973,20.729
29,12,1973,20.726
30,12,1973,20.721
31,12,1973,20.718
1,1,1974,20.716
2,1,1974,20.712
3,1,1974,0
4,1,1974,0
5,1,1974,0
6,1,1974,0
7,1,1974,0
8,1,1974,0
9,1,1974,0
10,1,1974,0
11,1,1974,0
12,1,1974,0
13,1,1974,0
14,1,1974,20.62
15,1,1974,20.615
16,1,1974,20.609
17,1,1974,20.598
18,1,1974,20.585
19,1,1974,20.587
20,1,1974,20.596
21,1,1974,20.589
22,1,1974,20.577
23,1,1974,20.566
24,1,1974,20.555
25,1,1974,20.538
26,1,1974,20.523
27,1,1974,20.519
28,1,1974,20.494
29,1,1974,20.491
30,1,1974,20.498
31,1,1974,20.498
1,2,1974,20.493
2,2,1974,20.496
3,2,1974,20.49
4,2,1974,20.484
5,2,1974,20.482
6,2,1974,20.489
