DIA,MES,ANO,VALOR
1,1,1972,104.965
2,1,1972,104.977
3,1,1972,104.965
4,1,1972,104.948
5,1,1972,104.948
6,1,1972,104.953
7,1,1972,104.965
8,1,1972,104.937
9,1,1972,104.94
10,1,1972,104.916
11,1,1972,104.896
12,1,1972,104.9
13,1,1972,104.914
14,1,1972,104.917
15,1,1972,104.922
16,1,1972,104.934
17,1,1972,104.974
18,1,1972,105.01
19,1,1972,105.021
20,1,1972,104.984
21,1,1972,104.971
22,1,1972,104.974
23,1,1972,104.948
24,1,1972,104.944
25,1,1972,104.945
26,1,1972,104.954
27,1,1972,104.96
28,1,1972,104.951
29,1,1972,104.951
30,1,1972,104.93
31,1,1972,104.947
1,2,1972,104.92
2,2,1972,104.898
3,2,1972,104.89
4,2,1972,104.891
5,2,1972,104.889
6,2,1972,104.877
7,2,1972,104.886
8,2,1972,104.929
9,2,1972,104.922
10,2,1972,104.943
11,2,1972,104.941
12,2,1972,104.957
13,2,1972,104.943
14,2,1972,104.922
15,2,1972,104.895
16,2,1972,104.879
17,2,1972,104.867
18,2,1972,104.89
19,2,1972,104.874
20,2,1972,104.863
21,2,1972,104.851
22,2,1972,104.842
23,2,1972,104.836
24,2,1972,104.832
25,2,1972,104.831
26,2,1972,104.827
27,2,1972,104.833
28,2,1972,104.851
29,2,1972,104.874
1,3,1972,104.869
2,3,1972,104.851
3,3,1972,104.879
4,3,1972,104.876
5,3,1972,104.864
6,3,1972,104.872
7,3,1972,104.866
8,3,1972,104.854
9,3,1972,104.857
10,3,1972,104.884
11,3,1972,104.897
12,3,1972,104.863
13,3,1972,104.864
14,3,1972,104.855
15,3,1972,104.857
16,3,1972,104.847
17,3,1972,104.849
18,3,1972,104.876
19,3,1972,104.861
20,3,1972,104.898
21,3,1972,104.921
22,3,1972,104.941
23,3,1972,104.974
24,3,1972,104.986
25,3,1972,104.994
26,3,1972,104.992
27,3,1972,104.997
28,3,1972,104.978
29,3,1972,104.982
30,3,1972,104.989
31,3,1972,105.004
1,4,1972,104.991
2,4,1972,104.96
3,4,1972,104.933
4,4,1972,104.907
5,4,1972,104.886
6,4,1972,104.871
7,4,1972,104.854
8,4,1972,104.841
9,4,1972,104.836
10,4,1972,104.858
11,4,1972,104.851
12,4,1972,104.866
13,4,1972,104.894
14,4,1972,104.887
15,4,1972,104.954
16,4,1972,104.924
17,4,1972,104.929
18,4,1972,104.952
19,4,1972,104.943
20,4,1972,104.998
21,4,1972,104.994
22,4,1972,105.021
23,4,1972,104.966
24,4,1972,104.985
25,4,1972,105.011
26,4,1972,104.989
27,4,1972,105.008
28,4,1972,105.011
29,4,1972,105.027
30,4,1972,105.037
1,5,1972,105.046
2,5,1972,105.05
3,5,1972,105.016
4,5,1972,104.989
5,5,1972,105.014
6,5,1972,104.998
7,5,1972,104.988
8,5,1972,104.971
9,5,1972,105.008
10,5,1972,105.009
11,5,1972,105.006
12,5,1972,105.037
13,5,1972,105.002
14,5,1972,104.982
15,5,1972,105.032
16,5,1972,105.011
17,5,1972,104.995
18,5,1972,104.992
19,5,1972,105.01
20,5,1972,105.052
21,5,1972,105.099
22,5,1972,105.103
23,5,1972,
24,5,1972,105.12
25,5,1972,105.092
26,5,1972,105.059
27,5,1972,105.063
28,5,1972,105.044
29,5,1972,105.042
30,5,1972,105.038
31,5,1972,105.003
1,6,1972,104.97
2,6,1972,104.953
3,6,1972,104.93
4,6,1972,104.905
5,6,1972,104.894
6,6,1972,104.884
7,6,1972,104.88
8,6,1972,104.884
9,6,1972,104.931
10,6,1972,104.941
11,6,1972,104.98
12,6,1972,104.98
13,6,1972,105.024
14,6,1972,104.994
15,6,1972,104.995
16,6,1972,104.965
17,6,1972,104.964
18,6,1972,104.94
19,6,1972,104.907
20,6,1972,104.893
21,6,1972,104.91
22,6,1972,104.908
23,6,1972,104.907
24,6,1972,104.896
25,6,1972,104.905
26,6,1972,104.934
27,6,1972,104.932
28,6,1972,104.916
29,6,1972,104.908
30,6,1972,104.893
1,7,1972,104.886
2,7,1972,104.93
3,7,1972,104.963
4,7,1972,104.982
5,7,1972,105.012
6,7,1972,105.013
7,7,1972,104.955
8,7,1972,104.946
9,7,1972,104.925
10,7,1972,104.943
11,7,1972,104.912
12,7,1972,104.88
13,7,1972,104.89
14,7,1972,104.909
15,7,1972,104.945
16,7,1972,104.905
17,7,1972,104.868
18,7,1972,104.88
19,7,1972,104.896
20,7,1972,104.877
21,7,1972,104.908
22,7,1972,104.912
23,7,1972,104.879
24,7,1972,104.874
25,7,1972,104.867
26,7,1972,104.902
27,7,1972,104.904
28,7,1972,104.883
29,7,1972,104.874
30,7,1972,104.893
31,7,1972,104.872
1,8,1972,104.866
2,8,1972,104.848
3,8,1972,104.836
4,8,1972,104.836
5,8,1972,104.822
6,8,1972,104.814
7,8,1972,104.81
8,8,1972,104.806
9,8,1972,104.819
10,8,1972,104.838
11,8,1972,104.815
12,8,1972,104.824
13,8,1972,104.847
14,8,1972,104.881
15,8,1972,104.867
16,8,1972,104.86
17,8,1972,104.897
18,8,1972,104.924
19,8,1972,104.927
20,8,1972,104.92
21,8,1972,104.921
22,8,1972,104.956
