DIA,MES,ANO,VALOR
1,4,1973,59.437
2,4,1973,59.444
3,4,1973,59.431
4,4,1973,59.435
5,4,1973,59.423
6,4,1973,59.417
7,4,1973,59.45
8,4,1973,59.471
9,4,1973,59.467
10,4,1973,59.456
11,4,1973,59.489
12,4,1973,59.505
13,4,1973,59.506
14,4,1973,59.506
15,4,1973,59.47
16,4,1973,59.472
17,4,1973,59.478
18,4,1973,59.5
19,4,1973,59.486
20,4,1973,59.49
21,4,1973,59.505
22,4,1973,59.548
23,4,1973,59.552
24,4,1973,59.597
25,4,1973,59.594
26,4,1973,59.581
27,4,1973,59.59
28,4,1973,59.58
29,4,1973,59.553
30,4,1973,59.551
1,5,1973,59.518
2,5,1973,59.515
3,5,1973,59.52
4,5,1973,59.512
5,5,1973,59.513
6,5,1973,59.573
7,5,1973,59.628
8,5,1973,59.647
9,5,1973,59.589
10,5,1973,59.544
11,5,1973,59.543
12,5,1973,59.535
13,5,1973,59.518
14,5,1973,59.504
15,5,1973,59.472
16,5,1973,59.484
17,5,1973,59.491
18,5,1973,59.512
19,5,1973,59.567
20,5,1973,59.591
21,5,1973,59.593
22,5,1973,59.598
23,5,1973,59.612
24,5,1973,59.593
25,5,1973,59.579
26,5,1973,59.55
27,5,1973,59.547
28,5,1973,59.555
29,5,1973,59.538
30,5,1973,59.506
31,5,1973,59.504
1,6,1973,59.494
2,6,1973,59.488
3,6,1973,59.498
4,6,1973,59.523
5,6,1973,59.547
6,6,1973,59.566
7,6,1973,59.581
8,6,1973,59.556
9,6,1973,59.552
10,6,1973,59.539
11,6,1973,59.55
12,6,1973,59.572
13,6,1973,59.594
14,6,1973,59.585
15,6,1973,59.579
16,6,1973,59.566
17,6,1973,59.555
18,6,1973,59.544
19,6,1973,59.584
20,6,1973,59.624
21,6,1973,59.596
22,6,1973,59.597
23,6,1973,59.625
24,6,1973,59.642
25,6,1973,59.65
26,6,1973,59.639
27,6,1973,59.646
28,6,1973,59.618
29,6,1973,59.62
30,6,1973,59.632
1,7,1973,59.644
2,7,1973,59.625
3,7,1973,59.609
4,7,1973,59.579
5,7,1973,59.577
6,7,1973,59.569
7,7,1973,59.571
8,7,1973,59.562
9,7,1973,59.535
10,7,1973,59.533
11,7,1973,59.554
12,7,1973,59.551
13,7,1973,59.522
14,7,1973,59.522
15,7,1973,59.52
16,7,1973,59.518
17,7,1973,59.511
18,7,1973,59.527
19,7,1973,59.528
20,7,1973,59.521
21,7,1973,59.536
22,7,1973,59.533
23,7,1973,59.533
24,7,1973,59.553
25,7,1973,59.582
26,7,1973,59.598
27,7,1973,59.638
28,7,1973,59.625
29,7,1973,59.604
30,7,1973,59.595
31,7,1973,59.591
1,8,1973,59.606
2,8,1973,59.625
3,8,1973,59.604
4,8,1973,59.632
5,8,1973,59.631
6,8,1973,59.634
7,8,1973,59.608
8,8,1973,59.6
9,8,1973,59.602
10,8,1973,59.587
11,8,1973,59.615
12,8,1973,59.611
13,8,1973,59.578
14,8,1973,59.58
15,8,1973,59.585
16,8,1973,59.596
17,8,1973,59.596
18,8,1973,59.592
19,8,1973,59.585
20,8,1973,59.587
21,8,1973,59.584
22,8,1973,59.586
23,8,1973,59.584
24,8,1973,59.573
25,8,1973,59.555
26,8,1973,59.565
27,8,1973,59.602
28,8,1973,59.633
29,8,1973,59.685
30,8,1973,59.676
31,8,1973,59.705
1,9,1973,59.714
2,9,1973,59.719
3,9,1973,59.72
4,9,1973,59.723
5,9,1973,59.725
6,9,1973,59.693
7,9,1973,59.664
8,9,1973,59.674
9,9,1973,59.677
10,9,1973,59.637
11,9,1973,59.648
12,9,1973,59.658
13,9,1973,59.674
14,9,1973,59.695
15,9,1973,59.697
16,9,1973,59.713
17,9,1973,59.724
18,9,1973,59.745
19,9,1973,59.737
20,9,1973,59.73
21,9,1973,59.733
22,9,1973,59.723
23,9,1973,59.724
24,9,1973,59.712
25,9,1973,59.691
26,9,1973,59.709
27,9,1973,59.729
28,9,1973,59.698
29,9,1973,59.678
30,9,1973,59.663
1,10,1973,59.638
2,10,1973,59.629
3,10,1973,59.649
4,10,1973,59.669
5,10,1973,59.643
6,10,1973,59.673
7,10,1973,59.672
8,10,1973,59.668
9,10,1973,59.687
10,10,1973,59.685
11,10,1973,59.692
12,10,1973,59.673
13,10,1973,59.671
14,10,1973,59.645
15,10,1973,59.662
16,10,1973,59.697
17,10,1973,59.695
18,10,1973,59.698
19,10,1973,59.707
20,10,1973,59.71
21,10,1973,59.71
22,10,1973,59.702
23,10,1973,59.693
24,10,1973,59.68
25,10,1973,59.662
26,10,1973,59.68
27,10,1973,59.694
28,10,1973,59.692
29,10,1973,59.657
30,10,1973,59.646
31,10,1973,59.644
1,11,1973,59.619
2,11,1973,59.612
3,11,1973,59.588
4,11,1973,59.607
5,11,1973,59.624
6,11,1973,59.633
7,11,1973,59.68
8,11,1973,59.68
9,11,1973,59.678
10,11,1973,59.696
11,11,1973,59.713
12,11,1973,59.725
13,11,1973,59.735
14,11,1973,59.735
15,11,1973,59.747
16,11,1973,59.755
17,11,1973,0
18,11,1973,0
19,11,1973,0
20,11,1973,0
21,11,1973,0
22,11,1973,0
23,11,1973,0
24,11,1973,0
25,11,1973,59.748
26,11,1973,59.752
27,11,1973,0
28,11,1973,0
29,11,1973,0
30,11,1973,0
1,12,1973,0
2,12,1973,0
3,12,1973,0
4,12,1973,0
5,12,1973,0
6,12,1973,0
7,12,1973,0
8,12,1973,0
9,12,1973,0
10,12,1973,0
11,12,1973,0
12,12,1973,0
13,12,1973,0
14,12,1973,0
15,12,1973,0
16,12,1973,0
17,12,1973,0
18,12,1973,0
19,12,1973,0
20,12,1973,0
21,12,1973,0
22,12,1973,0
23,12,1973,0
24,12,1973,0
25,12,1973,0
26,12,1973,0
27,12,1973,0
28,12,1973,0
29,12,1973,0
30,12,1973,0
31,12,1973,0
1,1,1974,59.669
2,1,1974,59.685
3,1,1974,59.67
4,1,1974,59.637
5,1,1974,59.639
6,1,1974,59.641
7,1,1974,59.631
8,1,1974,59.601
9,1,1974,59.59
10,1,1974,59.581
11,1,1974,59.576
12,1,1974,59.57
13,1,1974,59.56
14,1,1974,59.566
15,1,1974,59.563
16,1,1974,59.557
17,1,1974,59.565
18,1,1974,59.592
19,1,1974,59.584
20,1,1974,59.574
21,1,1974,59.561
22,1,1974,59.547
23,1,1974,59.541
24,1,1974,59.532
25,1,1974,59.524
26,1,1974,59.517
27,1,1974,59.514
28,1,1974,59.522
29,1,1974,59.523
30,1,1974,59.518
31,1,1974,59.529
1,2,1974,59.533
2,2,1974,59.527
3,2,1974,59.519
4,2,1974,59.516
5,2,1974,59.52
6,2,1974,59.545
7,2,1974,59.548
8,2,1974,59.578
9,2,1974,59.563
10,2,1974,59.565
11,2,1974,59.605
12,2,1974,59.613
13,2,1974,59.595
14,2,1974,59.616
15,2,1974,59.618
16,2,1974,59.643
17,2,1974,59.66
18,2,1974,59.672
19,2,1974,59.643
20,2,1974,59.607
21,2,1974,59.605
22,2,1974,59.628
23,2,1974,59.6
24,2,1974,59.6
25,2,1974,59.575
26,2,1974,59.578
27,2,1974,59.58
28,2,1974,59.584
1,3,1974,0
2,3,1974,0
3,3,1974,0
4,3,1974,0
5,3,1974,0
6,3,1974,0
7,3,1974,0
8,3,1974,0
9,3,1974,0
10,3,1974,0
11,3,1974,0
12,3,1974,0
13,3,1974,0
14,3,1974,0
15,3,1974,0
16,3,1974,0
17,3,1974,0
18,3,1974,0
19,3,1974,0
20,3,1974,0
21,3,1974,0
22,3,1974,0
23,3,1974,0
24,3,1974,0
25,3,1974,0
26,3,1974,0
27,3,1974,0
28,3,1974,0
29,3,1974,0
30,3,1974,0
31,3,1974,0
1,4,1974,0
2,4,1974,0
3,4,1974,0
4,4,1974,0
5,4,1974,0
6,4,1974,0
7,4,1974,0
8,4,1974,0
9,4,1974,0
10,4,1974,0
11,4,1974,0
12,4,1974,0
13,4,1974,0
14,4,1974,0
15,4,1974,0
16,4,1974,0
17,4,1974,0
18,4,1974,0
19,4,1974,0
20,4,1974,0
21,4,1974,0
22,4,1974,0
23,4,1974,0
24,4,1974,0
25,4,1974,0
26,4,1974,0
27,4,1974,0
28,4,1974,0
29,4,1974,0
30,4,1974,0
1,5,1974,0
2,5,1974,0
3,5,1974,0
4,5,1974,0
5,5,1974,0
6,5,1974,0
7,5,1974,0
8,5,1974,0
9,5,1974,0
10,5,1974,0
11,5,1974,0
12,5,1974,0
13,5,1974,0
14,5,1974,0
15,5,1974,0
16,5,1974,0
17,5,1974,0
18,5,1974,0
19,5,1974,0
20,5,1974,0
21,5,1974,0
22,5,1974,0
23,5,1974,0
24,5,1974,0
25,5,1974,0
26,5,1974,0
27,5,1974,0
28,5,1974,0
29,5,1974,0
30,5,1974,0
31,5,1974,0
1,6,1974,59.646
2,6,1974,59.603
3,6,1974,59.556
4,6,1974,59.61
5,6,1974,59.61
6,6,1974,59.588
7,6,1974,59.582
8,6,1974,59.567
9,6,1974,59.586
10,6,1974,59.578
11,6,1974,59.57
12,6,1974,59.553
13,6,1974,59.555
14,6,1974,59.573
15,6,1974,59.592
16,6,1974,59.589
17,6,1974,59.583
18,6,1974,59.578
19,6,1974,59.602
20,6,1974,59.588
21,6,1974,59.572
22,6,1974,59.591
23,6,1974,59.596
24,6,1974,59.615
25,6,1974,59.596
26,6,1974,59.604
27,6,1974,59.595
28,6,1974,59.594
29,6,1974,59.568
30,6,1974,59.566
1,7,1974,0
2,7,1974,0
3,7,1974,0
4,7,1974,0
5,7,1974,0
6,7,1974,0
7,7,1974,0
8,7,1974,0
9,7,1974,0
10,7,1974,0
11,7,1974,0
12,7,1974,0
13,7,1974,0
14,7,1974,0
15,7,1974,0
16,7,1974,0
17,7,1974,0
18,7,1974,0
19,7,1974,0
20,7,1974,0
21,7,1974,0
22,7,1974,0
23,7,1974,0
24,7,1974,0
25,7,1974,0
26,7,1974,0
27,7,1974,0
28,7,1974,0
29,7,1974,0
30,7,1974,0
31,7,1974,0
1,8,1974,0
2,8,1974,0
3,8,1974,0
4,8,1974,0
5,8,1974,0
6,8,1974,0
7,8,1974,0
8,8,1974,0
9,8,1974,0
10,8,1974,0
11,8,1974,0
12,8,1974,0
13,8,1974,0
14,8,1974,0
15,8,1974,0
16,8,1974,0
17,8,1974,0
18,8,1974,0
19,8,1974,0
20,8,1974,0
21,8,1974,0
22,8,1974,0
23,8,1974,0
24,8,1974,0
25,8,1974,0
26,8,1974,0
27,8,1974,0
28,8,1974,0
29,8,1974,0
30,8,1974,0
31,8,1974,0
1,9,1974,0
2,9,1974,0
3,9,1974,0
4,9,1974,0
5,9,1974,0
6,9,1974,0
7,9,1974,0
8,9,1974,0
9,9,1974,0
10,9,1974,0
11,9,1974,0
12,9,1974,0
13,9,1974,0
14,9,1974,0
15,9,1974,0
16,9,1974,0
17,9,1974,0
18,9,1974,0
19,9,1974,0
20,9,1974,0
21,9,1974,0
22,9,1974,0
23,9,1974,0
24,9,1974,0
25,9,1974,0
26,9,1974,0
27,9,1974,0
28,9,1974,0
29,9,1974,0
30,9,1974,0
1,10,1974,0
2,10,1974,0
3,10,1974,0
4,10,1974,0
5,10,1974,0
6,10,1974,0
7,10,1974,0
8,10,1974,0
9,10,1974,0
10,10,1974,0
11,10,1974,0
12,10,1974,0
13,10,1974,0
14,10,1974,0
15,10,1974,0
16,10,1974,0
17,10,1974,0
18,10,1974,0
19,10,1974,0
20,10,1974,0
21,10,1974,0
22,10,1974,0
23,10,1974,0
24,10,1974,0
25,10,1974,0
26,10,1974,0
27,10,1974,0
28,10,1974,0
29,10,1974,0
30,10,1974,0
31,10,1974,0
1,11,1974,0
2,11,1974,0
3,11,1974,0
4,11,1974,0
5,11,1974,0
6,11,1974,0
7,11,1974,0
8,11,1974,0
9,11,1974,0
10,11,1974,0
11,11,1974,0
12,11,1974,0
13,11,1974,0
14,11,1974,0
15,11,1974,0
16,11,1974,0
17,11,1974,0
18,11,1974,0
19,11,1974,0
20,11,1974,0
21,11,1974,0
22,11,1974,0
23,11,1974,0
24,11,1974,0
25,11,1974,0
26,11,1974,0
27,11,1974,0
28,11,1974,0
29,11,1974,0
30,11,1974,0
1,12,1974,0
2,12,1974,0
3,12,1974,0
4,12,1974,0
5,12,1974,0
6,12,1974,0
7,12,1974,0
8,12,1974,0
9,12,1974,0
10,12,1974,0
11,12,1974,0
12,12,1974,0
13,12,1974,0
14,12,1974,0
15,12,1974,0
16,12,1974,0
17,12,1974,0
18,12,1974,0
19,12,1974,0
20,12,1974,0
21,12,1974,0
22,12,1974,0
23,12,1974,0
24,12,1974,0
25,12,1974,0
26,12,1974,0
27,12,1974,0
28,12,1974,0
29,12,1974,0
30,12,1974,0
31,12,1974,0
1,1,1975,0
2,1,1975,0
3,1,1975,0
4,1,1975,0
5,1,1975,0
6,1,1975,0
7,1,1975,0
8,1,1975,0
9,1,1975,0
10,1,1975,0
11,1,1975,0
12,1,1975,0
13,1,1975,0
14,1,1975,0
15,1,1975,0
16,1,1975,0
17,1,1975,0
18,1,1975,0
19,1,1975,0
20,1,1975,0
21,1,1975,0
22,1,1975,0
23,1,1975,0
24,1,1975,0
25,1,1975,0
26,1,1975,0
27,1,1975,0
28,1,1975,0
29,1,1975,0
30,1,1975,0
31,1,1975,0
1,2,1975,0
2,2,1975,0
3,2,1975,0
4,2,1975,0
5,2,1975,0
6,2,1975,59.408
7,2,1975,59.422
8,2,1975,59.427
9,2,1975,59.431
10,2,1975,59.432
11,2,1975,59.429
12,2,1975,59.429
13,2,1975,59.428
14,2,1975,59.425
15,2,1975,59.427
16,2,1975,59.432
17,2,1975,59.441
18,2,1975,59.446
19,2,1975,59.454
20,2,1975,59.464
21,2,1975,59.465
22,2,1975,59.471
23,2,1975,59.477
24,2,1975,59.486
25,2,1975,59.497
26,2,1975,59.509
27,2,1975,59.52
28,2,1975,59.536
1,3,1975,59.551
2,3,1975,59.58
3,3,1975,59.627
4,3,1975,59.635
5,3,1975,59.626
6,3,1975,59.607
7,3,1975,59.596
8,3,1975,59.587
9,3,1975,59.566
10,3,1975,59.547
11,3,1975,59.526
12,3,1975,59.511
13,3,1975,59.51
14,3,1975,59.506
15,3,1975,59.504
16,3,1975,59.508
17,3,1975,59.506
18,3,1975,59.509
19,3,1975,59.511
20,3,1975,59.517
21,3,1975,59.524
22,3,1975,59.521
23,3,1975,59.532
24,3,1975,59.541
25,3,1975,59.529
26,3,1975,59.518
27,3,1975,59.508
28,3,1975,59.493
29,3,1975,59.478
30,3,1975,59.479
31,3,1975,59.476
1,4,1975,59.475
2,4,1975,59.482
3,4,1975,59.494
4,4,1975,59.502
5,4,1975,59.509
6,4,1975,59.519
7,4,1975,59.525
8,4,1975,59.533
9,4,1975,59.532
10,4,1975,59.52
11,4,1975,59.506
12,4,1975,59.483
13,4,1975,59.474
14,4,1975,59.486
15,4,1975,59.492
16,4,1975,59.488
17,4,1975,59.486
18,4,1975,59.493
19,4,1975,59.5
20,4,1975,59.509
21,4,1975,59.515
22,4,1975,59.508
23,4,1975,59.498
24,4,1975,59.52
25,4,1975,59.518
26,4,1975,59.53
27,4,1975,59.539
28,4,1975,59.546
29,4,1975,59.556
30,4,1975,59.566
1,5,1975,59.592
2,5,1975,59.603
3,5,1975,59.616
4,5,1975,59.633
5,5,1975,59.654
6,5,1975,59.678
7,5,1975,59.692
8,5,1975,59.703
9,5,1975,59.697
10,5,1975,59.703
11,5,1975,59.7
12,5,1975,59.688
13,5,1975,59.679
14,5,1975,0
15,5,1975,0
16,5,1975,0
17,5,1975,0
18,5,1975,0
19,5,1975,0
20,5,1975,0
21,5,1975,0
22,5,1975,0
23,5,1975,0
24,5,1975,0
25,5,1975,0
26,5,1975,0
27,5,1975,0
28,5,1975,59.613
29,5,1975,59.603
30,5,1975,59.595
31,5,1975,59.59
1,6,1975,59.61
2,6,1975,59.642
3,6,1975,59.667
4,6,1975,59.655
5,6,1975,59.664
6,6,1975,59.663
7,6,1975,59.656
8,6,1975,59.65
9,6,1975,59.66
10,6,1975,59.666
11,6,1975,59.65
12,6,1975,59.623
13,6,1975,59.584
14,6,1975,59.58
15,6,1975,59.568
16,6,1975,59.547
17,6,1975,59.578
