DIA,MES,ANO,VALOR
1,4,1973,
2,4,1973,
3,4,1973,
4,4,1973,
5,4,1973,
6,4,1973,
7,4,1973,
8,4,1973,
9,4,1973,
10,4,1973,
11,4,1973,
12,4,1973,
13,4,1973,
14,4,1973,
15,4,1973,
16,4,1973,
17,4,1973,
18,4,1973,
19,4,1973,
20,4,1973,
21,4,1973,
22,4,1973,
23,4,1973,
24,4,1973,
25,4,1973,
26,4,1973,
27,4,1973,
28,4,1973,
29,4,1973,
30,4,1973,
1,5,1973,
2,5,1973,
3,5,1973,
4,5,1973,
5,5,1973,
6,5,1973,
7,5,1973,
8,5,1973,
9,5,1973,
10,5,1973,
11,5,1973,
12,5,1973,
13,5,1973,
14,5,1973,
15,5,1973,
16,5,1973,
17,5,1973,
18,5,1973,
19,5,1973,
20,5,1973,
21,5,1973,
22,5,1973,
23,5,1973,
24,5,1973,
25,5,1973,
26,5,1973,
27,5,1973,
28,5,1973,
29,5,1973,
30,5,1973,
31,5,1973,
1,6,1973,
2,6,1973,
3,6,1973,
4,6,1973,
5,6,1973,
6,6,1973,
7,6,1973,
8,6,1973,
9,6,1973,
10,6,1973,
11,6,1973,
12,6,1973,
13,6,1973,
14,6,1973,
15,6,1973,
16,6,1973,
17,6,1973,
18,6,1973,
19,6,1973,
20,6,1973,
21,6,1973,
22,6,1973,
23,6,1973,
24,6,1973,
25,6,1973,
26,6,1973,
27,6,1973,
28,6,1973,
29,6,1973,
30,6,1973,
1,7,1973,
2,7,1973,
3,7,1973,
4,7,1973,
5,7,1973,
6,7,1973,
7,7,1973,
8,7,1973,
9,7,1973,
10,7,1973,
11,7,1973,
12,7,1973,
13,7,1973,
14,7,1973,
15,7,1973,
16,7,1973,
17,7,1973,
18,7,1973,
19,7,1973,
20,7,1973,
21,7,1973,
22,7,1973,
23,7,1973,
24,7,1973,
25,7,1973,
26,7,1973,
27,7,1973,
28,7,1973,
29,7,1973,
30,7,1973,
31,7,1973,
1,8,1973,
2,8,1973,
3,8,1973,
4,8,1973,
5,8,1973,
6,8,1973,
7,8,1973,
8,8,1973,
9,8,1973,
10,8,1973,
11,8,1973,
12,8,1973,
13,8,1973,
14,8,1973,
15,8,1973,
16,8,1973,
17,8,1973,
18,8,1973,
19,8,1973,
20,8,1973,
21,8,1973,
22,8,1973,
23,8,1973,
24,8,1973,
25,8,1973,
26,8,1973,
27,8,1973,
28,8,1973,
29,8,1973,
30,8,1973,
31,8,1973,
1,9,1973,
2,9,1973,
3,9,1973,
4,9,1973,
5,9,1973,
6,9,1973,
7,9,1973,
8,9,1973,
9,9,1973,
10,9,1973,
11,9,1973,
12,9,1973,
13,9,1973,
14,9,1973,
15,9,1973,
16,9,1973,
17,9,1973,
18,9,1973,
19,9,1973,
20,9,1973,
21,9,1973,
22,9,1973,
23,9,1973,
24,9,1973,
25,9,1973,
26,9,1973,
27,9,1973,
28,9,1973,
29,9,1973,
30,9,1973,
1,10,1973,
2,10,1973,
3,10,1973,
4,10,1973,
5,10,1973,
6,10,1973,
7,10,1973,
8,10,1973,
9,10,1973,
10,10,1973,
11,10,1973,
12,10,1973,
13,10,1973,
14,10,1973,
15,10,1973,
16,10,1973,
17,10,1973,
18,10,1973,
