DIA,MES,ANO,VALOR
1,1,1985,425.882593713879
2,1,1985,1655.13058818421
3,1,1985,2638.80731142296
4,1,1985,3009.9194411393
5,1,1985,2922.40967788726
6,1,1985,2812.42460240274
7,1,1985,2718.24925547222
8,1,1985,2628.54207400838
9,1,1985,2645.60548021447
10,1,1985,2675.71131054571
11,1,1985,2607.87373087459
12,1,1985,2544.92408234011
13,1,1985,2522.34293739535
14,1,1985,2515.85413647284
15,1,1985,2479.62243257002
16,1,1985,2377.19274491438
17,1,1985,2284.0873468188
18,1,1985,2210.57940204842
19,1,1985,2157.94594174548
20,1,1985,2111.55027286427
21,1,1985,2052.46514837183
22,1,1985,2001.14007534058
23,1,1985,1981.3070712529
24,1,1985,1988.72109720959
25,1,1985,1992.35951185394
26,1,1985,2034.49447187012
27,1,1985,2143.01003315733
28,1,1985,2209.24614706382
29,1,1985,2159.52424842494
30,1,1985,2115.96350454611
31,1,1985,2072.37349238259
1,2,1985,2021.18848696932
2,2,1985,1967.49888725187
3,2,1985,1913.90260879498
4,2,1985,1849.73967171214
5,2,1985,1804.88056435443
6,2,1985,1779.07140427844
7,2,1985,1756.36619477606
8,2,1985,1724.89425796514
9,2,1985,1703.20843903597
10,2,1985,1689.88374093517
11,2,1985,1693.62190699053
12,2,1985,1720.45925610148
13,2,1985,1775.13386211902
14,2,1985,1871.71440657504
15,2,1985,1942.0873581922
16,2,1985,1942.65135654701
17,2,1985,1925.30746387642
18,2,1985,1895.28784248034
19,2,1985,1866.62289912358
20,2,1985,1834.30119998992
21,2,1985,1855.63535699168
22,2,1985,1865.92457394692
23,2,1985,1842.32992265369
24,2,1985,1828.80472427642
25,2,1985,1837.47422304913
26,2,1985,1818.32832763545
27,2,1985,1804.80374856292
28,2,1985,1800.09444888486
1,3,1985,1706.24117607131
2,3,1985,1465.66712515163
3,3,1985,1346.38785737234
4,3,1985,1388.93040923112
5,3,1985,1459.08476741687
6,3,1985,1442.49707996922
7,3,1985,1381.0933171048
8,3,1985,1380.99952256022
9,3,1985,1441.91946602158
10,3,1985,1475.0758882364
11,3,1985,1492.92875064696
12,3,1985,1527.90410495852
13,3,1985,1524.99722840216
14,3,1985,1460.17244192704
15,3,1985,1430.68781237316
16,3,1985,1417.93377510692
17,3,1985,1395.91522153946
18,3,1985,1385.90011783323
19,3,1985,1477.49102158392
20,3,1985,1611.57614378552
21,3,1985,1568.61959910255
22,3,1985,1514.89260957709
23,3,1985,1482.72368867183
24,3,1985,1403.84943941445
