DIA,MES,ANO,VALOR
1,1,1985,17.6052627843117
2,1,1985,87.7382687945053
3,1,1985,676.29685345312
4,1,1985,2178.13496597266
5,1,1985,3387.21992220193
6,1,1985,3863.67931117396
7,1,1985,3822.59524778118
8,1,1985,3814.96684920049
9,1,1985,3865.29354954409
10,1,1985,3756.05807379401
11,1,1985,3682.16005718244
12,1,1985,3655.60890354772
13,1,1985,3544.77678337156
14,1,1985,3442.09504289958
15,1,1985,3392.81817433867
16,1,1985,3367.11462069367
17,1,1985,3319.84348228637
18,1,1985,3212.10154508564
19,1,1985,3104.54261822913
20,1,1985,3029.5009148713
21,1,1985,3001.5791349877
22,1,1985,2963.55965520109
23,1,1985,2896.86402650254
24,1,1985,2834.98358348958
25,1,1985,2803.43945064274
26,1,1985,2807.79180127535
27,1,1985,2821.50741464017
28,1,1985,2865.1847469298
29,1,1985,2970.36973988214
30,1,1985,3034.6014428871
31,1,1985,2980.64613335258
1,2,1985,2930.29344528548
2,2,1985,2878.81259387136
3,2,1985,2813.00623841241
4,2,1985,2731.38337599545
5,2,1985,2658.74138967872
6,2,1985,2584.87287263861
7,2,1985,2534.27811359534
8,2,1985,2505.54551474888
9,2,1985,2480.19017995915
10,2,1985,2446.31816871584
11,2,1985,2423.47721664058
12,2,1985,2413.8340460932
13,2,1985,2423.49208912908
14,2,1985,2451.661753425
15,2,1985,2506.06984319288
16,2,1985,2607.76085912495
17,2,1985,2688.18204859231
18,2,1985,2685.06240174807
19,2,1985,2663.42983610897
20,2,1985,2630.20921605243
21,2,1985,2597.60149196852
22,2,1985,2562.35002316952
23,2,1985,2581.51550102267
24,2,1985,2590.99713484516
25,2,1985,2567.02163634651
26,2,1985,2553.74917641122
27,2,1985,2563.78668145827
28,2,1985,2545.851942977
1,3,1985,2532.99303620403
2,3,1985,2529.18990613218
3,3,1985,2437.73504293372
4,3,1985,2196.07395268303
5,3,1985,2074.59255527436
6,3,1985,2116.56942351246
7,3,1985,2186.57033197276
8,3,1985,2169.63403165894
9,3,1985,2122.25564898204
10,3,1985,2149.45021800754
11,3,1985,2201.37557389635
12,3,1985,2233.1679884084
13,3,1985,2282.16586397549
14,3,1985,2335.92944837073
15,3,1985,2330.33357962171
16,3,1985,2284.71604145234
17,3,1985,2280.80152107745
18,3,1985,2302.35426819407
19,3,1985,2485.30261450485
20,3,1985,2768.0750393028
21,3,1985,3041.8603030993
22,3,1985,3158.01471674053
23,3,1985,2916.65877893828
24,3,1985,2732.52434034875
25,3,1985,2542.48978224417
26,3,1985,2334.54398269712
27,3,1985,2192.64897550616
28,3,1985,2083.07093081703
29,3,1985,2009.0014819919
30,3,1985,2082.64177076749
31,3,1985,2546.32924593594
1,4,1985,3273.85666789293
2,4,1985,3931.94597383582
3,4,1985,4526.00414114225
4,4,1985,4939.70621062828
5,4,1985,4892.67042869103
6,4,1985,4803.48824737482
7,4,1985,4909.61117347415
8,4,1985,4814.13617001661
9,4,1985,4420.71272671603
10,4,1985,4010.31778995895
11,4,1985,3756.20863987719
12,4,1985,3605.26605496855
13,4,1985,3531.84143657608
14,4,1985,3579.6955931142
15,4,1985,3503.00362216577
16,4,1985,3297.84991377129
